,Train_filename,Gen_filename,Train_duration,Gen_duration,Difference
18744,b-1_2321-2421_2404.wav,VTTS_b-1_2321-2421_2404.wav,2920,2659,261
18745,b-2_2209-2310_2306.wav,VTTS_b-2_2209-2310_2306.wav,1290,1509,-219
18746,b-1_2927-3025_2942.wav,VTTS_b-1_2927-3025_2942.wav,3570,3437,133
18747,b-4_501-1014_968.wav,VTTS_b-4_501-1014_968.wav,3680,4168,-488
18748,b-2_203-304_237.wav,VTTS_b-2_203-304_237.wav,2270,2577,-307
18749,b-4_2000-5164_4167.wav,VTTS_b-4_2000-5164_4167.wav,2488,2485,3
18750,b-1_175-275_226.wav,VTTS_b-1_175-275_226.wav,1610,1440,170
18751,b-3_196-293_233.wav,VTTS_b-3_196-293_233.wav,1590,1614,-24
18752,b-3_1960-2000_1984.wav,VTTS_b-3_1960-2000_1984.wav,4710,4540,170
18753,b-1_2523-2623_2543.wav,VTTS_b-1_2523-2623_2543.wav,2190,2148,42
18754,b-2_1121-1222_1158.wav,VTTS_b-2_1121-1222_1158.wav,3370,2438,932
18755,b-1_4178-4213_4196.wav,VTTS_b-1_4178-4213_4196.wav,3880,4516,-636
18756,b-3_3715-3802_3783.wav,VTTS_b-3_3715-3802_3783.wav,8030,7686,344
18757,b-4_2000-5164_2177.wav,VTTS_b-4_2000-5164_2177.wav,5430,5759,-329
18758,b-3_4607-5008_4974.wav,VTTS_b-3_4607-5008_4974.wav,6710,6525,185
18759,b-3_2434-2523_2488.wav,VTTS_b-3_2434-2523_2488.wav,7130,11610,-4480
18760,b-2_203-304_254.wav,VTTS_b-2_203-304_254.wav,1860,1985,-125
18761,b-1_794-1009_898.wav,VTTS_b-1_794-1009_898.wav,1950,2566,-616
18762,b-2_1121-1222_1160.wav,VTTS_b-2_1121-1222_1160.wav,1780,2844,-1064
18763,b-2_509-610_527.wav,VTTS_b-2_509-610_527.wav,2140,2287,-147
18764,b-1_686-793_751.wav,VTTS_b-1_686-793_751.wav,1890,1695,195
18765,b-4_2000-5164_3413.wav,VTTS_b-4_2000-5164_3413.wav,4569,4748,-179
18766,b-1_2927-3025_2933.wav,VTTS_b-1_2927-3025_2933.wav,3570,4505,-935
18767,b-3_3279-3363_3311.wav,VTTS_b-3_3279-3363_3311.wav,5530,5538,-8
18768,b-1_478-578_566.wav,VTTS_b-1_478-578_566.wav,2240,2043,197
18769,b-3_5853-5956_5953.wav,VTTS_b-3_5853-5956_5953.wav,4890,4795,95
18770,b-2_1903-2038_1976.wav,VTTS_b-2_1903-2038_1976.wav,3240,3599,-359
18771,b-3_1666-1763_1753.wav,VTTS_b-3_1666-1763_1753.wav,3460,3274,186
18772,b-3_4104-4206_4146.wav,VTTS_b-3_4104-4206_4146.wav,4040,3947,93
18773,b-3_4001-4103_4043.wav,VTTS_b-3_4001-4103_4043.wav,3620,3193,427
18774,b-3_98-195_177.wav,VTTS_b-3_98-195_177.wav,6220,5793,427
18775,b-4_2000-5164_4061.wav,VTTS_b-4_2000-5164_4061.wav,5774,8104,-2330
18776,b-4_1014-1100_1019.wav,VTTS_b-4_1014-1100_1019.wav,5980,5782,198
18777,b-2_2107-2193_2190.wav,VTTS_b-2_2107-2193_2190.wav,1790,1730,60
18778,b-3_4315-4424_4324.wav,VTTS_b-3_4315-4424_4324.wav,7620,8986,-1366
18779,b-4_2000-5164_2452.wav,VTTS_b-4_2000-5164_2452.wav,4200,4110,90
18780,b-1_4286-4321_4319.wav,VTTS_b-1_4286-4321_4319.wav,3320,3251,69
18781,b-3_931-979_964.wav,VTTS_b-3_931-979_964.wav,4260,4261,-1
18782,b-4_2000-5164_2912.wav,VTTS_b-4_2000-5164_2912.wav,4567,4331,236
18783,b-3_1079-1320_1149.wav,VTTS_b-3_1079-1320_1149.wav,2920,2856,64
18784,b-3_1960-2000_1986.wav,VTTS_b-3_1960-2000_1986.wav,7100,7407,-307
18785,b-4_2000-5164_5157.wav,VTTS_b-4_2000-5164_5157.wav,7453,7245,208
18786,b-3_4607-5008_4991.wav,VTTS_b-3_4607-5008_4991.wav,5160,5108,52
